CARID,Name,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description
WW002064374,Bregagh Road 60-62 ST,UKGBNI1NE040404001,Bush River (Armoy),304828,431485,304828 431485,Discharge Point Coordinates
WW002064430,Bregagh Road 68-70 ST,Undefined,Undefined,304618,431737,304618 431737,Coordinates of Asset (Discharge Point Unavailable)
WW002064161,Bresagh WwTW,UKGBNI1NE050503071,Ravernet Tributary,333993,358947,333993 358947,Discharge Point Coordinates
WW002063613,Brisland Road 3-5 ST,UKGBNI1NW020203030,Muff River,253969,421218,253969 421218,Discharge Point Coordinates
WW002064092,Broagh WwTW,UKGBNI1NB030303154,Moyola River (Castledawson),291275,395739,291275 395739,Discharge Point Coordinates
WW002064548,Brockaghboy WwTW,UKGBNI1NB030301075,Agivey River (Garvagh),281263,412748,281263 412748,Discharge Point Coordinates
WW002063677,Brookeborough WwTW,UKGBNI1NW363602018,Colebrooke River (Maguiresbridge),236861,340422,236861 340422,Discharge Point Coordinates
WW002064265,Buckna WwTW,UKGBNI1NB030302236,Glen Burn,321026,407475,321026 407475,Discharge Point Coordinates
WW002064386,Burnquarter WwTW,UKGBNI1NB030308221,Ballymoney River,298295,421750,298295 421750,Discharge Point Coordinates
WW002064074,Burren Road 50-56 ST,Undefined,Undefined,334021,333604,334021 333604,Coordinates of Asset (Discharge Point Unavailable)
WW002064505,Bushmills WwTW,UKGBNI1NE040404042,Bush River (Bushmills),293788,441340,293788 441340,Discharge Point Coordinates
WW002063511,Cabragh WwTW,UKGBNI1NB030308213,Oona Water (Killymaddy),270892,360623,270892 360623,Discharge Point Coordinates
WW002064524,Caheny ST,UKGBNI1NB030301072,Mayoghill River,289039,419212,289039 419212,Discharge Point Coordinates
WW002063466,Caledon WwTW,UKGBNI1NB030308204,River Blackwater (Caledon),275949,345384,275949 345384,Discharge Point Coordinates
WW002063804,Camus WwTW,UKGBNI1NW010102074,Mourne River,234840,392021,234840 392021,Discharge Point Coordinates
WW002064494,Capecastle WwTW,UKGBNI1NE040403033,Tow River,308138,437201,308138 437201,Discharge Point Coordinates
WW002063519,Cappagh WwTW,UKGBNI1NB030308222,Torrent River,269426,366803,269426 366803,Discharge Point Coordinates
WW002064257,Cargan WwTW,UKGBNI1NB030302233,Glenravel Water,316507,416991,316507 416991,Discharge Point Coordinates
WW002064478,Cargin Road WwTW,Undefined,Undefined,298949,386612,298949 386612,Coordinates of Asset (Discharge Point Unavailable)
WW002064094,Carmean Road 42-46 ST,UKGBNI1NB030308206,Grange Water (Curran),287444,389039,287444 389039,Discharge Point Coordinates
WW002064343,Carmean WwTW,Undefined,Undefined,286928,386613,286928 386613,Coordinates of Asset (Discharge Point Unavailable)
WW002064293,Carnalbanagh WwTW,UKGBNI1NE040403045,Owencloghy Water,327346,407891,327346 407891,Discharge Point Coordinates
WW002063776,Carnalea Road WwTW,UKGBNI1NW010104049,Quiggery Water,245464,362299,245464 362299,Discharge Point Coordinates
WW002063928,Carnally ST,Undefined,Undefined,295923,317841,295923 317841,Coordinates of Asset (Discharge Point Unavailable)
WW002064339,Carnan WwTW,UKGBNI1NB030306140,Mourneview Stream,291089,370878,291089 370878,Discharge Point Coordinates
WW002063391,Carnanbane WwTW,UKGBNI1NW020202010,Owenrigh River,266939,406689,266939 406689,Discharge Point Coordinates
WW004291465,Carnbank Templepatrick WwTW,UKGBNI1NB030305206,Ballymartin Water,326523,385145,326523 385145,Coordinates of Asset (Discharge Point Unavailable)
WW002064316,Carnbeg WwTW,UKGBNI1NB030308210,River Main (Glarryford),308052,413841,308052 413841,Discharge Point Coordinates
WW002064485,Carnduff WwTW,GBNI8NE059,Glens and Rathlin,310353,442439,310353 442439,Discharge Point Coordinates
WW002063893,Carneyhough ST,UKGBNI1NB060608227,Newry River,310509,327829,310509 327829,Discharge Point Coordinates
WW002064266,Carnlough Road WwTW,UKGBNI1NB030302016,Priest's Burn,321038,409716,321038 409716,Discharge Point Coordinates
WW002063373,Carnteel Road 122-124 ST,UKGBNI1NB030308217,Oona Water (Eglish),270748,355502,270748 355502,Discharge Point Coordinates
WW002063922,Carran Hill West ST,UKGBNI1NB060603027,County Water,291033,316727,291033 316727,Discharge Point Coordinates
WW002064194,Carrickfergus WwTW,UKGBNI6NE080,Belfast Lough Outer,343222,388330,343222 388330,Discharge Point Coordinates
WW002063529,Carricklongfield Road 21-23 ST,UKGBNI1NB030308217,Oona Water (Eglish),271464,354824,271464 354824,Discharge Point Coordinates
WW002063741,Carrickmore WwTW,UKGBNI1NW010104047,Camowen River (Termon),261719,371212,261719 371212,Discharge Point Coordinates
WW002064155,Carricknaveagh ST,UKGBNI1NE050503070,Ravernet River (Mount Pleasant),337047,360396,337047 360396,Discharge Point Coordinates
WW002063940,Carrickrovaddy RBC,UKGBNI1NB060608235,Cully Water,295223,324627,295223 324627,Discharge Point Coordinates
WW002063927,Carrig Place ST,UKGBNI1NB060608246,Creggan River,294763,317120,294763 317120,Discharge Point Coordinates
WW002064088,Carrigenagh WwTW,UKGBNI1NE050505114,Kilkeel River,331444,319812,331444 319812,Discharge Point Coordinates
WW002063688,Carrontreemall WwTW,UKGBNI1NW363602093,Drumharriff Burn,210408,339214,210408 339214,Discharge Point Coordinates
WW002063651,Carrowclare WwTW,UKGBNI6NW251,Lough Foyle,263135,426139,263135 426139,Discharge Point Coordinates
WW002063584,Carrowdore Road 38-40 ST,Undefined,Undefined,357396,370818,357396 370818,Coordinates of Asset (Discharge Point Unavailable)
WW002064367,Carrowreagh Road 68-70 ST,UKGBNI1NE040405116,Doughery Water,304711,434180,304711 434180,Discharge Point Coordinates
WW003475826,Castle Archdale ICW WwTW,Undefined,Undefined,218171,358450,218171 358450,Coordinates of Asset (Discharge Point Unavailable)
WW002063512,Castlecaulfield WwTW,UKGBNI1NB030308222,Torrent River,275606,362716,275606 362716,Discharge Point Coordinates
WW002063823,Castlederg 2 WwTW,UKGBNI1NW010102095,Derg River (Millbrook),227222,384069,227222 384069,Discharge Point Coordinates
WW002063621,Castlemellan Lower ST,UKGBNI1NW010101070,Burn Dennet River (Milltown),242842,404393,242842 404393,Discharge Point Coordinates
WW002063617,Castlemellan Upper ST,UKGBNI1NW010101070,Burn Dennet River (Milltown),243177,405371,243177 405371,Discharge Point Coordinates
WW002064501,Castlenagree WwTW,UKGBNI1NE040404042,Bush River (Bushmills),295513,441527,295513 441527,Discharge Point Coordinates
WW002063785,Castletown ST,UKGBNI1NW010104074,Finn River,230732,393536,230732 393536,Discharge Point Coordinates
WW002063972,Castlevennon Road 49-51 ST,UKGBNI1NB030308256,River Bann (Gilford),319342,344127,319342 344127,Discharge Point Coordinates
WW002063966,Castlevennon ST,UKGBNI1NB030308186,Eel Burn (Upper Bann),319697,343353,319697 343353,Discharge Point Coordinates
WW002063991,Castor Bay WwTW,UKGBNI3NB0032,Lough Neagh,307945,362566,307945 362566,Discharge Point Coordinates
WW002063389,Caugh Hill East WwTW,UKGBNI1NW020202010,Owenrigh River,266730,404488,266730 404488,Discharge Point Coordinates
WW002064431,Causeway Road 15 ST,GBNI8NE012,Bush,294479,443371,294479 443371,Discharge Point Coordinates
WW002064432,Causeway Road 30 ST,GBNI8NE012,Bush,294470,443653,294470 443653,Discharge Point Coordinates
WW002064563,Causeway Road 122 ST,Undefined,Undefined,296689,444364,296689 444364,Coordinates of Asset (Discharge Point Unavailable)
WW002064568,Causeway Road 180 ST,UKGBNI1NE040403034,Dunseverick River,299068,444331,299068 444331,Discharge Point Coordinates
WW002063771,Cavanacaw WwTW,UKGBNI1NW010102017,Creevan Burn,241916,369857,241916 369857,Discharge Point Coordinates
WW002063470,Cavanagrow WwTW,UKGBNI1NB030307109,Killeen Water,291510,341098,291510 341098,Discharge Point Coordinates
WW002064030,Charlestown WwTW,Undefined,Undefined,296854,362996,296854 362996,Coordinates of Asset (Discharge Point Unavailable)
WW002064378,Chatham Road ST,UKGBNI1NE040405116,Doughery Water,303346,433733,303346 433733,Discharge Point Coordinates
WW002064237,Cherryvalley Road 24 ST,Undefined,Undefined,312389,375218,312389 375218,Coordinates of Asset (Discharge Point Unavailable)
WW002063712,Church Hill WwTW,UKGBNI1NW363601041,Blackslee Burn,210876,356124,210876 356124,Discharge Point Coordinates
WW002064554,Churchfield Road WwTW,Undefined,Undefined,313730,440389,313730 440389,Coordinates of Asset (Discharge Point Unavailable)
WW004150925,Clabby Road Camgart WWTW,UKGBNI1NW363602085,Many Burns River,240764,349992,240764 349992,Discharge Point Coordinates
WW002063819,Clady Tyrone WwTW,UKGBNI1NW010104074,Finn River,229088,393604,229088 393604,Discharge Point Coordinates
WW002063471,Cladymore WwTW,UKGBNI1NB030308120,Mowhan River,294145,335366,294145 335366,Discharge Point Coordinates
WW003128278,Clanabogan South WwTW,UKGBNI1NW010102018,Ballynahatty (Drumragh) Water,239550,367067,239550 367067,Discharge Point Coordinates
WW002064114,Clare WwTW,UKGBNI1NB030304063,Ballinderry River (Derrygonnigan),282291,377470,282291 377470,Discharge Point Coordinates
WW002063978,Clarehill Road ST,UKGBNI1NE050505127,River Lagan (Lisburn),316359,359635,316359 359635,Discharge Point Coordinates
WW002064518,Clarehill WwTW,UKGBNI1NB030301213,Aghadowey River,287655,421942,287655 421942,Coordinates of Asset (Discharge Point Unavailable)
WW002064184,Clattering Ford ST,UKGBNI1NE050504023,Comber Tributary,344908,368370,344908 368370,Discharge Point Coordinates
WW002063397,Claudy WwTW,UKGBNI1NW020208259,Faughan River (Carnmoney),254702,407310,254702 407310,Discharge Point Coordinates
WW002063508,Clay Lake ST,UKGBNI1NB030307049,Clay River,283741,332420,283741 332420,Discharge Point Coordinates
WW002064279,Clogh WwTW,UKGBNI1NB030308211,Clogh River,310268,414028,310268 414028,Discharge Point Coordinates
WW002063813,Clogher WwTW,UKGBNI1NB030308223,River Blackwater (Augher),254161,352481,254161 352481,Discharge Point Coordinates
WW002064282,Cloghmills WwTW,UKGBNI1NB030302234,Cloghmills Water,306567,417806,306567 417806,Coordinates of Asset (Discharge Point Unavailable)
WW002918078,Clough East WwTW,UKGBNI1NE050505060,Ardilea River,340338,340122,340338 340122,Discharge Point Coordinates
WW002063832,Cloughey WwTW,UKGBNI6NE200,Ards Penninsula,364253,355855,364253 355855,Discharge Point Coordinates
WW002064338,Cluntoe Richardson WwTW,UKGBNI3NB0032,Lough Neagh,296411,376616,296411 376616,Discharge Point Coordinates
WW002064120,Coagh Road 20-22 ST,Undefined,Undefined,282694,378312,282694 378312,Coordinates of Asset (Discharge Point Unavailable)
WW002064108,Coagh WwTW,UKGBNI1NB030304136,Ballinderry River (Coagh),289209,378909,289209 378909,Discharge Point Coordinates
WW002063473,Coalisland WwTW,UKGBNI1NB030308222,Torrent River,284682,365622,284682 365622,Discharge Point Coordinates
WW002064226,Cogry Road 25-27 ST,UKGBNI1NB030305204,Six Mile Water (Ballyclare),327358,391977,327358 391977,Discharge Point Coordinates
WW002064178,Comber Road 102-106 ST,GBNI8NE053,Strangford,349302,362294,349302 362294,Discharge Point Coordinates
WW002064128,Commons School Road 8-10 WwTW,GBNI8NB050,Carlingford and Newry,310330,324910,310330 324910,Discharge Point Coordinates
WW002063929,Concession Road ST,UKGBNI1NB060608249,Fane River (Cullaville),291006,312046,291006 312046,Discharge Point Coordinates
WW002064057,Coneyisland WwTW,UKGBNI6NE190,Dundrum Bay Outer,354673,336443,354673 336443,Discharge Point Coordinates
WW002064301,Connaught Road 21 ST,UKGBNI1NB030302150,River Main (Randalstown),309076,392035,309076 392035,Discharge Point Coordinates
WW002063821,Conthem Road WwTW,UKGBNI1NW010102074,Mourne River,235260,393314,235260 393314,Discharge Point Coordinates
WW002064122,Cookstown WwTW,UKGBNI1NB030308230,Ballinderry River (Cookstown),281663,376560,281663 376560,Discharge Point Coordinates
WW002064527,Coole Glebe WwTW,UKGBNI1NB030301214,Lower River Bann (Coleraine),288503,425674,288503 425674,Discharge Point Coordinates
WW002064383,Coolkeeran ST,UKGBNI1NE040405127,Bush River (Ballyhoe),307789,427712,307789 427712,Discharge Point Coordinates
WW002064556,Coolnagoppoge WwTW,UKGBNI1NE040405118,Carey River,317539,440028,317539 440028,Discharge Point Coordinates
WW002064299,Coolsythe Road 23 ST,Undefined,Undefined,307249,393865,307249 393865,Coordinates of Asset (Discharge Point Unavailable)
WW002063665,Coragh WwTW,UKGBNI1NW363602063,Upper Lough Erne,228466,328249,228466 328249,Discharge Point Coordinates
WW002064517,Corbally Road 43-45 ST,Undefined,Undefined,288084,438486,288084 438486,Coordinates of Asset (Discharge Point Unavailable)
WW002063981,Corbet WwTW,UKGBNI1NB030308256,River Bann (Gilford),316939,344742,316939 344742,Discharge Point Coordinates
WW002064028,Corbracky Road WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,299254,356957,299254 356957,Discharge Point Coordinates
WW002064449,Corchoney ST,UKGBNI1NB030304054,Kildress Stream,274171,378050,274171 378050,Discharge Point Coordinates
WW002063902,Corcreechy Road ST,UKGBNI1NB060608227,Newry River,310500,332625,310500 332625,Discharge Point Coordinates
WW002063903,Corgary Cottages WwTW,Undefined,Undefined,308977,332936,308977 332936,Coordinates of Asset (Discharge Point Unavailable)
WW002063810,Corickbeg Road 15-17 ST,UKGBNI1NW010104040,Glenelly River,246090,388755,246090 388755,Discharge Point Coordinates
WW002063745,Corickmore WwTW,UKGBNI1NW010102028,Owenkillew River (Killymore),244557,388419,244557 388419,Discharge Point Coordinates
WW002063728,Corkill Kilskeery WwTW,UKGBNI1NW363601046,Ballinamallard River (Magheracross),229128,355138,229128 355138,Discharge Point Coordinates
WW002064464,Corkill Tyrone ST,Undefined,Undefined,274912,379300,274912 379300,Coordinates of Asset (Discharge Point Unavailable)
WW002063681,Cornakessagh WwTW,Undefined,Undefined,241217,342260,241217 342260,Coordinates of Asset (Discharge Point Unavailable)
WW002063730,Cornamuck ST,UKGBNI1NW363604039,Ballinamallard River (Keenogue),232164,361883,232164 361883,Discharge Point Coordinates
WW002063550,Corrinure ST,UKGBNI1NB030308113,Whitecross River,299302,333061,299302 333061,Discharge Point Coordinates
WW002063720,Corry WwTW,Undefined,Undefined,195060,358266,195060 358266,Coordinates of Asset (Discharge Point Unavailable)
WW002064463,Corvanaghan ST,UKGBNI1NB030304176,Tulnacross River,273102,380265,273102 380265,Discharge Point Coordinates
WW002063835,Craigaroddan Road 6-8 ST,GBNI8NE030,Strangford,362572,350763,362572 350763,Discharge Point Coordinates
WW002064179,Craigarusky Road 66-68 ST,UKGBNI1NE050504057,Blackwater (Ards) River,350753,362681,350753 362681,Discharge Point Coordinates
WW002064534,Craigavole WwTW,UKGBNI1NB030301069,Knockoneill River,285583,409924,285583 409924,Discharge Point Coordinates
WW002063580,Craigdarragh Road 85-87 ST,GBNI8NE024,Belfast Lough,344444,381272,344444 381272,Discharge Point Coordinates
WW002064546,Craigmore Road 18-20 ST,UKGBNI1NB030301213,Aghadowey River,283740,421200,283740 421200,Discharge Point Coordinates
WW002064565,Craigmore Road 139 ST,UKGBNI1NB030301213,Aghadowey River,278589,422483,278589 422483,Discharge Point Coordinates
WW002064159,Craignasasonagh WwTW,UKGBNI1NE050503070,Ravernet River (Mount Pleasant),338004,359613,338004 359613,Discharge Point Coordinates
WW002064260,Craigywarren WwTW,UKGBNI1NB030308211,Clogh River,311483,407584,311483 407584,Discharge Point Coordinates
WW002064305,Cranfield New WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,304829,386429,304829 386429,Discharge Point Coordinates
WW002064083,Cranfield WwTW,UKGBNI6NB030,Carlingford Lough,326031,310357,326031 310357,Discharge Point Coordinates
WW002064281,Crankill ST,UKGBNI1NB030308211,Clogh River,307099,411719,307099 411719,Discharge Point Coordinates
WW002064332,Creagh WwTW,Undefined,Undefined,295770,391146,295770 391146,Coordinates of Asset (Discharge Point Unavailable)
WW002063638,Creaghcor WwTW,UKGBNI5NW250030,Upper Foyle,236555,410229,236555 410229,Discharge Point Coordinates
WW002063390,Crebarkey WwTW,Undefined,Undefined,271462,407560,271462 407560,Coordinates of Asset (Discharge Point Unavailable)
WW002063765,Creevanagar WwTW,UKGBNI1NW010102006,Drumragh River,242599,369906,242599 369906,Discharge Point Coordinates
WW002064297,Creggan Road 27 ST,UKGBNI1NB030308243,Lough Neagh Peripherals,306478,385900,306478 385900,Discharge Point Coordinates
WW002063794,Crew Bridge WwTW,UKGBNI1NW010102095,Derg River (Millbrook),231503,384476,231503 384476,Discharge Point Coordinates
WW002063528,Crilly ST,UKGBNI1NB030307042,Crilly Feeder,269638,350324,269638 350324,Discharge Point Coordinates
WW003139112,Cross Lane 9-22  RBC,Undefined,Undefined,322280,363732,322280 363732,Coordinates of Asset (Discharge Point Unavailable)
WW002064284,Crosskeys Road ST,UKGBNI1NB030301152,Mullaghardry Point Stream,301674,396555,301674 396555,Discharge Point Coordinates
WW002063933,Crossmaglen WwTW,UKGBNI1NB060608246,Creggan River,293620,314806,293620 314806,Discharge Point Coordinates
WW002063455,Crossnamoyle WwTW,UKGBNI1NB030308236,Tynan River,280811,332841,280811 332841,Discharge Point Coordinates
WW002064533,Culbane WwTW,UKGBNI1NB030301075,Agivey River (Garvagh),282511,414110,282511 414110,Discharge Point Coordinates
WW002064519,Culcrow WwTW,UKGBNI1NB030301073,Macosquin River,289212,423902,289212 423902,Discharge Point Coordinates
WW002063931,Cullaville WwTW,UKGBNI1NB060608249,Fane River (Cullaville),288696,313051,288696 313051,Discharge Point Coordinates
WW002063640,Cullion WwTW,UKGBNI1NW010101076,Sandville Burn,240705,407266,240705 407266,Discharge Point Coordinates
WW002063938,Cullyhanna WwTW,UKGBNI1NB060608246,Creggan River,292384,320765,292384 320765,Discharge Point Coordinates
WW002064525,Cullyramer ST,UKGBNI1NB030301072,Mayoghill River,287580,416432,287580 416432,Discharge Point Coordinates
WW002063653,Culmore 2 WwTW,UKGBNI5NW250040,Foyle Harbour and Faughan,247804,423115,247804 423115,Discharge Point Coordinates
WW002063415,Culmore Point ST,GBNI8NW020,Burn Dennet and Foyle,247701,422367,247701 422367,Discharge Point Coordinates
WW002064411,Culnady Road 46-50 ST,Undefined,Undefined,287630,403680,287630 403680,Coordinates of Asset (Discharge Point Unavailable)
WW002064409,Culramoney Road 5 ST,UKGBNI1NB030301211,Breckagh Water,298578,428347,298578 428347,Discharge Point Coordinates
WW002064097,Curglasson WwTW,UKGBNI1NB030304138,Kingsmill River,286724,373464,286724 373464,Discharge Point Coordinates
WW002064091,Curran WwTW,UKGBNI1NB030308206,Grange Water (Curran),288853,395361,288853 395361,Discharge Point Coordinates
WW002064309,Cushendall WwTW,UKGBNI6NE030,North Channel,325366,427357,325366 427357,Discharge Point Coordinates
WW002064321,Cushendun Caves WwTW,UKGBNI6NE030,North Channel,325189,432626,325189 432626,Coordinates of Asset (Discharge Point Unavailable)
WW002064312,Cushleake Road 37-39 ST,UKGBNI1NE040405120,Glendun River,323570,432742,323570 432742,Discharge Point Coordinates
WW002063456,Darkley WwTW,UKGBNI1NB030307112,Callan River (Tassagh),286328,331049,286328 331049,Discharge Point Coordinates
WW002064551,Dartress WwTW,UKGBNI1NB030301071,Bann Brook,279386,433696,279386 433696,Discharge Point Coordinates
WW002064466,Davagh Park ST,UKGBNI1NW010102086,Owenkillew River (Glenhull),269202,386237,269202 386237,Discharge Point Coordinates
WW002064333,Deerpark Road 92 ST,Undefined,Undefined,296219,392601,296219 392601,Coordinates of Asset (Discharge Point Unavailable)
WW002064498,Deffrick WwTW,UKGBNI1NE040404036,Liscolman Feeder,298891,434520,298891 434520,Discharge Point Coordinates
WW002063891,Demoan Villas ST,UKGBNI1NB060604048,Newry Canal,305885,337207,305885 337207,Discharge Point Coordinates
WW002064399,Dempsey Park WwTW,UKGBNI1NB030301149,Lower River Bann (Kilrea),291117,419652,291117 419652,Discharge Point Coordinates
WW002063815,Derg ST,Undefined,Undefined,233019,386611,233019 386611,Coordinates of Asset (Discharge Point Unavailable)
WW002063386,Dernaflaw WwTW,UKGBNI1NW020202023,Owenbeg River,266705,408983,266705 408983,Discharge Point Coordinates
WW002063690,Derryaghna WwTW,UKGBNI1NW363604059,Arney River,219154,338415,219154 338415,Discharge Point Coordinates
WW002064031,Derryanvil WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,300318,356262,300318 356262,Discharge Point Coordinates
WW002064348,Derrycrin WwTW,UKGBNI1NB030304136,Ballinderry River (Coagh),292888,379747,292888 379747,Discharge Point Coordinates
WW002063709,Derrygonnelly WwTW,UKGBNI1NW363601056,Sillees River (Derrygonnelly),212120,351653,212120 351653,Discharge Point Coordinates
WW002063513,Derrygortrevy WwTW,UKGBNI1NB030308217,Oona Water (Eglish),277186,358423,277186 358423,Discharge Point Coordinates
WW002064035,Derryhale WwTW,UKGBNI1NB030308110,Ballybay River,297757,350579,297757 350579,Discharge Point Coordinates
WW002063505,Derryhaw WwTW,UKGBNI1NB030308236,Tynan River,278865,341621,278865 341621,Discharge Point Coordinates
WW002064424,Derrykeighan WwTW,UKGBNI1NE040404042,Bush River (Bushmills),295894,433697,295894 433697,Discharge Point Coordinates
WW002063666,Derrylin WwTW,UKGBNI1NW363602063,Upper Lough Erne,228284,327079,228284 327079,Discharge Point Coordinates
WW002063525,Derrymagowan ST,UKGBNI1NB030307129,Tall River (Derrycrew),288277,357123,288277 357123,Discharge Point Coordinates
WW002063992,Derrymore WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,308115,366767,308115 366767,Discharge Point Coordinates
WW002063465,Derrynoose WwTW,UKGBNI1NB030308236,Tynan River,280142,332180,280142 332180,Discharge Point Coordinates
WW002063612,Derryork Road 33-35 ST,UKGBNI1NW020202012,Gelvin River (Benview),269240,413829,269240 413829,Discharge Point Coordinates
WW002064032,Derrytrasna WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,298906,362962,298906 362962,Discharge Point Coordinates
WW002064405,Dervock WwTW,UKGBNI1NE040404004,Dervock River (Dervock),297613,431252,297613 431252,Discharge Point Coordinates
WW002064441,Desertmartin WwTW,UKGBNI1NB030308206,Grange Water (Curran),285601,392191,285601 392191,Discharge Point Coordinates
WW002064238,Diamond Cottages 1 ST,UKGBNI1NB030308243,Lough Neagh Peripherals,311014,378233,311014 378233,Discharge Point Coordinates
WW002063973,Diamond Road 73-79 ST,Undefined,Undefined,321196,351154,321196 351154,Coordinates of Asset (Discharge Point Unavailable)
WW003166470,Diviny Potadown RBC,UKGBNI1NB030307129,Tall River (Derrycrew),296711,355195,296711 355195,Discharge Point Coordinates
WW002063483,Doan Place ST,Undefined,Undefined,279226,365086,279226 365086,Coordinates of Asset (Discharge Point Unavailable)
WW002063674,Donagh WwTW,UKGBNI1NW363602024,Lough-a-hache River,239736,329880,239736 329880,Discharge Point Coordinates
WW002063630,Donagheady WwTW,Undefined,Undefined,239542,405371,239542 405371,Coordinates of Asset (Discharge Point Unavailable)
WW002064123,Donaghey One ST,UKGBNI1NB030304138,Kingsmill River,281615,371460,281615 371460,Discharge Point Coordinates
WW002064124,Donaghey Two WwTW,UKGBNI1NB030304138,Kingsmill River,281257,371613,281257 371613,Coordinates of Asset (Discharge Point Unavailable)
WW002063484,Donaghmore WwTW,UKGBNI1NB030308222,Torrent River,277279,365292,277279 365292,Discharge Point Coordinates
WW002064059,Donard View WwTW,UKGBNI1NE050505129,Ballyviggis Stream,352556,341596,352556 341596,Discharge Point Coordinates
WW002063614,Donemana WwTW,UKGBNI1NW010101045,Burn Dennet River (Dunnamanagh),244175,403355,244175 403355,Coordinates of Asset (Discharge Point Unavailable)
WW002064389,Donnelly Park WwTW,Undefined,Undefined,293099,418433,293099 418433,Coordinates of Asset (Discharge Point Unavailable)
WW002063422,Donnybrewer Road 97-99 ST,GBNI8NW051,Faughan,250986,421697,250986 421697,Discharge Point Coordinates
WW002063423,Donnybrewer Road 98-100 ST,GBNI8NW051,Faughan,250816,421794,250816 421794,Discharge Point Coordinates
WW002063420,Donnybrewer WwTW,UKGBNI5NW250040,Foyle Harbour and Faughan,250161,423868,250161 423868,Discharge Point Coordinates
WW002063457,Doogary WwTW,UKGBNI1NB030308236,Tynan River,277856,339120,277856 339120,Discharge Point Coordinates
WW002063796,Dooish WwTW,Undefined,Undefined,232811,372873,232811 372873,Coordinates of Asset (Discharge Point Unavailable)
WW002064098,Doorless WwTW,UKGBNI1NB030304063,Ballinderry River (Derrygonnigan),283635,376242,283635 376242,Discharge Point Coordinates
WW002064246,Dorisland ST,GBNI8NE001,Belfast Lough,338747,387842,338747 387842,Discharge Point Coordinates
WW002063939,Dorsy WwTW,UKGBNI1NB060608235,Cully Water,294744,321110,294744 321110,Discharge Point Coordinates
WW002063983,Dougan Place ST,UKGBNI1NB030308256,River Bann (Gilford),315170,347540,315170 347540,Discharge Point Coordinates
WW002063782,Douglas Bridge WwTW,UKGBNI1NW010102075,Douglas Burn (Foyle),236914,390050,236914 390050,Discharge Point Coordinates
WW002064068,Downpatrick WwTW,UKGBNI1NE050505115,Quoile River,347958,345456,347958 345456,Discharge Point Coordinates
WW002064099,Drapersfield WwTW,UKGBNI1NB030304063,Ballinderry River (Derrygonnigan),284518,376926,284518 376926,Discharge Point Coordinates
WW002064442,Draperstown WwTW,UKGBNI1NB030308205,Moyola River (Straw),278065,395422,278065 395422,Discharge Point Coordinates
WW002063967,Dree Hill ST,Undefined,Undefined,328671,347602,328671 347602,Coordinates of Asset (Discharge Point Unavailable)
WW002064357,Dreenan Road 38-40 ST,UKGBNI1NB030308234,Grillagh River,290797,402263,290797 402263,Discharge Point Coordinates
WW002064239,Drennans Road 6 ST,UKGBNI1NB030306127,Dunore River,316903,381420,316903 381420,Discharge Point Coordinates
WW002063857,Dromara Road Lacken ST,UKGBNI1NB030308187,Drumadonnell River,322518,338157,322518 338157,Discharge Point Coordinates
WW002063964,Dromara WwTW,UKGBNI1NE050503096,River Lagan (Dromara),328684,349882,328684 349882,Discharge Point Coordinates
WW002063974,Dromore Down WwTW,UKGBNI1NE050505127,River Lagan (Lisburn),319330,353332,319330 353332,Coordinates of Asset (Discharge Point Unavailable)
WW002063381,Dromore Highlands WwTW,UKGBNI1NW020203027,Bessbrook (Foyle) River,265409,420107,265409 420107,Discharge Point Coordinates
WW002063726,Dromore Tyrone WwTW,UKGBNI1NW010102053,Owenreagh (Drumragh) River (Drumlish),236589,364969,236589 364969,Discharge Point Coordinates
WW002063982,Dronehill Road ST,UKGBNI1NB030308117,Tullyorior Tributary,316417,344281,316417 344281,Discharge Point Coordinates
WW002064385,Drones WwTW,UKGBNI1NE040404050,Flesk Water,305066,428668,305066 428668,Discharge Point Coordinates
WW002064417,Drumagarner Road 148-150 ST,UKGBNI1NB030301068,Inverroe Water,290521,409264,290521 409264,Discharge Point Coordinates
WW002064416,Drumagarner Road 212-218 WwTW,UKGBNI1NB030301068,Inverroe Water,289649,406936,289649 406936,Discharge Point Coordinates
WW002064535,Drumagarner WwTW,UKGBNI1NB030301068,Inverroe Water,290844,410642,290844 410642,Discharge Point Coordinates
WW002064174,Drumalig Road 62-64 ST,Undefined,Undefined,336641,362916,336641 362916,Coordinates of Asset (Discharge Point Unavailable)
WW002064536,Drumane ST,UKGBNI1NB030301068,Inverroe Water,291753,411965,291753 411965,Discharge Point Coordinates
WW002064065,Drumaness WwTW,UKGBNI1NE050504066,Drumaness Tributary,339971,350280,339971 350280,Discharge Point Coordinates
WW002064010,Drumaran Road ST,UKGBNI1NB030308256,River Bann (Gilford),308138,346749,308138 346749,Discharge Point Coordinates
WW002064418,Drumard Kilrea WwTW,UKGBNI1NB030301068,Inverroe Water,291174,408725,291174 408725,Discharge Point Coordinates
WW002063489,Drumard Newmills ST,Undefined,Undefined,281044,368449,281044 368449,Coordinates of Asset (Discharge Point Unavailable)
